feature_id,start_frame,used_num,score,stereo_error[3],track_error_per_frame[3],truth_error_per_frame[4]
483,60,1,773.455,0 0 0,,
484,60,1,1.52079,0 0 0,,
486,60,1,1.24378,0 0 0,,
487,60,1,2.36778,0 0 0,,
490,60,1,1.9724,0 0 0,,
499,60,1,0.554332,0 0 0,,
502,60,1,0.278541,0 0 0,,
503,60,1,525.085,0 0 0,,
505,60,1,132.688,0 0 0,,
507,60,1,0.653274,0 0 0,,
510,61,1,0.502995,0 0 0,,
512,61,1,0.1069,0 0 0,,
514,61,1,0.623123,0 0 0,,
515,61,1,1.03508,0 0 0,,
516,61,1,1.06689,0 0 0,,
517,61,1,1.72188,0 0 0,,
518,61,1,0.87125,0 0 0,,
519,61,1,3.68621,0 0 0,,
520,61,1,2.45996,0 0 0,,
521,61,1,0.921002,0 0 0,,
522,61,1,409.935,0 0 0,,
523,61,1,1.04529,0 0 0,,
524,61,1,1.55843,0 0 0,,
526,61,1,265.554,0 0 0,,
527,61,1,1.81849,0 0 0,,
528,61,1,0.885771,0 0 0,,
530,61,1,21.2585,0 0 0,,
534,61,1,0.522938,0 0 0,,
535,61,1,0.460319,0 0 0,,
536,61,1,1392.08,0 0 0,,
538,61,1,0.361104,0 0 0,,
541,62,1,0.483299,0 0 0,,
546,62,1,148.455,0 0 0,,
548,62,1,6.9533,0 0 0,,
549,62,1,4.07438,0 0 0,,
550,62,1,0.875113,0 0 0,,
551,62,1,0.420155,0 0 0,,
553,62,1,0.398597,0 0 0,,
554,62,1,0.392799,0 0 0,,
555,62,1,23.7387,0 0 0,,
558,62,1,1.38891,0 0 0,,
560,62,1,0.563866,0 0 0,,
566,62,1,0.490726,0 0 0,,
568,62,1,0.959226,0 0 0,,
572,62,1,0.303516,0 0 0,,
579,63,1,0.591133,0 0 0,,
581,63,1,0,0 0 0,,
582,63,1,21636.4,0 0 0,,
583,63,1,26106.9,0 0 0,,
584,63,1,1.42165,0 0 0,,
585,63,1,0.650373,0 0 0,,
586,63,1,2.52379,0 0 0,,
587,63,1,1.02998,0 0 0,,
588,63,1,0.249582,0 0 0,,
590,63,1,0.975117,0 0 0,,
591,63,1,0.0746728,0 0 0,,
593,63,1,0.673428,0 0 0,,
594,63,1,8603.14,0 0 0,,
595,63,1,1.36989,0 0 0,,
599,63,1,0.0550565,0 0 0,,
604,63,1,0.789457,0 0 0,,
608,64,1,2.44256,0 0 0,,
609,64,1,0.779571,0 0 0,,
610,64,1,0.555492,0 0 0,,
611,64,1,1.1074,0 0 0,,
612,64,1,4118.75,0 0 0,,
613,64,1,0.669182,0 0 0,,
614,64,1,0.707912,0 0 0,,
615,64,1,0.558607,0 0 0,,
616,64,1,0.43108,0 0 0,,
617,64,1,0.213946,0 0 0,,
618,64,1,0.560268,0 0 0,,
619,64,1,2961.49,0 0 0,,
620,64,1,1.39709,0 0 0,,
621,64,1,1490.29,0 0 0,,
623,64,1,0.625681,0 0 0,,
624,64,1,30.9134,0 0 0,,
625,64,1,1.15952,0 0 0,,
626,64,1,0.952397,0 0 0,,
627,64,1,0.389388,0 0 0,,
628,64,1,15975,0 0 0,,
629,64,1,0.58892,0 0 0,,
631,64,1,0.204768,0 0 0,,
632,64,1,0.755923,0 0 0,,
634,64,1,0.391916,0 0 0,,
641,64,1,1.62379,0 0 0,,
644,64,1,0.314447,0 0 0,,
645,64,1,2.5268,0 0 0,,
646,64,1,0.458284,0 0 0,,
647,64,1,2.69894,0 0 0,,
648,64,1,0.373768,0 0 0,,
650,65,1,2.44279,0 0 0,,
651,65,1,3401.63,0 0 0,,
653,65,1,0.960497,0 0 0,,
657,65,1,279.187,0 0 0,,
658,65,1,2.01867,0 0 0,,
659,65,1,0.422758,0 0 0,,
661,65,1,1.01937,0 0 0,,
662,65,1,2.82281,0 0 0,,
668,65,1,1.92274,0 0 0,,
669,65,1,1.00315,0 0 0,,
673,65,1,0.415531,0 0 0,,
676,65,1,11964.4,0 0 0,,
682,65,1,3296.49,0 0 0,,
685,65,1,1.01097,0 0 0,,
687,65,1,1.50633,0 0 0,,
688,65,1,0.493671,0 0 0,,
693,66,1,1.45543,0 0 0,,
695,66,1,1.00058,0 0 0,,
696,66,1,0.52109,0 0 0,,
698,66,1,2981.11,0 0 0,,
699,66,1,0.862936,0 0 0,,
700,66,1,0.583931,0 0 0,,
703,66,1,1.20566,0 0 0,,
704,66,1,1.43559,0 0 0,,
707,66,1,0.857259,0 0 0,,
711,66,1,0.538631,0 0 0,,
712,66,1,0.306549,0 0 0,,
714,66,1,0.439363,0 0 0,,
715,66,1,2.52251,0 0 0,,
717,67,1,18441.8,0 0 0,,
718,67,1,0.651818,0 0 0,,
720,67,1,0.609547,0 0 0,,
721,67,1,1.28757,0 0 0,,
722,67,1,1.66082,0 0 0,,
723,67,1,1.21484,0 0 0,,
724,67,1,1.0626,0 0 0,,
725,67,1,0.669376,0 0 0,,
726,67,1,0.647375,0 0 0,,
727,67,1,1.07927,0 0 0,,
728,67,1,0.918987,0 0 0,,
729,67,1,0.757024,0 0 0,,
730,67,1,7.66602,0 0 0,,
731,67,1,0.417897,0 0 0,,
733,67,1,0.745306,0 0 0,,
734,67,1,1.22033,0 0 0,,
735,67,1,2.76154,0 0 0,,
736,67,1,0.904412,0 0 0,,
737,67,1,3609.92,0 0 0,,
739,67,1,1.50095,0 0 0,,
741,67,1,1.39282,0 0 0,,
749,67,1,0.484578,0 0 0,,
750,68,1,0.931832,0 0 0,,
751,68,1,0.951952,0 0 0,,
755,68,1,0.31126,0 0 0,,
756,68,1,1.27389,0 0 0,,
757,68,1,31844.8,0 0 0,,
758,68,1,2.31828,0 0 0,,
759,68,1,1.04041,0 0 0,,
760,68,1,0.139003,0 0 0,,
761,68,1,3069.62,0 0 0,,
762,68,1,1.01276,0 0 0,,
763,68,1,1.13218,0 0 0,,
764,68,1,3.98624,0 0 0,,
765,68,1,0.406705,0 0 0,,
766,68,1,7591.77,0 0 0,,
768,68,1,1.52164,0 0 0,,
769,68,1,0.619441,0 0 0,,
770,68,1,0.823618,0 0 0,,
771,68,1,0.286891,0 0 0,,
772,68,1,1.86912,0 0 0,,
774,68,1,0.726541,0 0 0,,
775,68,1,1.5125,0 0 0,,
776,68,1,7518.78,0 0 0,,
777,68,1,39303,0 0 0,,
779,68,1,0.342141,0 0 0,,
780,68,1,0.520229,0 0 0,,
783,68,1,0.989407,0 0 0,,
786,69,1,0.514539,0 0 0,,
787,69,1,0.819758,0 0 0,,
788,69,1,0.211929,0 0 0,,
789,69,1,2.34,0 0 0,,
790,69,1,0.79813,0 0 0,,
791,69,1,0,0 0 0,,
792,69,1,0.544405,0 0 0,,
794,69,1,0.415965,0 0 0,,
